,STATE/UT,YEAR,TIME,ACCIDENTS
2406,Manipur,2007,18-21 hrs (Night),57
2407,Manipur,2007,21-24 hrs (Night),18
2408,Manipur,2008,0-3 hrs. (Night),11
2409,Manipur,2008,3-6 hrs. (Night),26
2410,Manipur,2008,6-9 hrs (Day),99
2411,Manipur,2008,9-12 hrs (Day),134
2412,Manipur,2008,12-15 hrs (Day),100
2413,Manipur,2008,15-18 hrs (Day),79
2414,Manipur,2008,18-21 hrs (Night),41
2415,Manipur,2008,21-24 hrs (Night),12
2416,Manipur,2009,0-3 hrs. (Night),14
2417,Manipur,2009,3-6 hrs. (Night),24
2418,Manipur,2009,6-9 hrs (Day),113
2419,Manipur,2009,9-12 hrs (Day),83
2420,Manipur,2009,12-15 hrs (Day),93
2421,Manipur,2009,15-18 hrs (Day),138
2422,Manipur,2009,18-21 hrs (Night),75
2423,Manipur,2009,21-24 hrs (Night),38
2424,Manipur,2010,0-3 hrs. (Night),27
2425,Manipur,2010,3-6 hrs. (Night),47
2426,Manipur,2010,6-9 hrs (Day),75
2427,Manipur,2010,9-12 hrs (Day),124
2428,Manipur,2010,12-15 hrs (Day),130
2429,Manipur,2010,15-18 hrs (Day),116
2430,Manipur,2010,18-21 hrs (Night),59
2431,Manipur,2010,21-24 hrs (Night),24
2432,Manipur,2011,0-3 hrs. (Night),26
2433,Manipur,2011,3-6 hrs. (Night),52
2434,Manipur,2011,6-9 hrs (Day),91
2435,Manipur,2011,9-12 hrs (Day),123
2436,Manipur,2011,12-15 hrs (Day),153
2437,Manipur,2011,15-18 hrs (Day),107
2438,Manipur,2011,18-21 hrs (Night),105
2439,Manipur,2011,21-24 hrs (Night),34
2440,Manipur,2012,0-3 hrs. (Night),54
2441,Manipur,2012,3-6 hrs. (Night),75
2442,Manipur,2012,6-9 hrs (Day),96
2443,Manipur,2012,9-12 hrs (Day),143
2444,Manipur,2012,12-15 hrs (Day),126
2445,Manipur,2012,15-18 hrs (Day),121
2446,Manipur,2012,18-21 hrs (Night),100
2447,Manipur,2012,21-24 hrs (Night),56
2448,Manipur,2013,0-3 hrs. (Night),7
2449,Manipur,2013,3-6 hrs. (Night),13
2450,Manipur,2013,6-9 hrs (Day),64
2451,Manipur,2013,9-12 hrs (Day),102
